0,Title,PackageName,URL,Publisher,PrintISSN,OnlineISSN,ManagedCoverageBegin,ManagedCoverageEnd,RealBegin,RealEnd,FreeBegin,FreeEnd,Exp == Real,Exp < Free
11,Numerische mathematik,SpringerLINK Archive (CRKN),https://link.springer.com/journal/volumesAndIssues/211,Springer Science+Business Media B.V.,0029-599X,0945-3245,1959-12-01,1996-10-31,,,,,,
12,Journal of the IGPL,Oxford Journals (CRKN),https://academic.oup.com/jigpal/issue,Oxford University Press,,0945-9103,1996-02-01,1996-06-30,,,,,,
13,Journal of molecular modeling,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/894,Springer Science+Business Media B.V.,1610-2940,0948-5023,1997-01-01,Present,,,,,,
14,Journal of molecular modeling,SpringerLINK Archive (CRKN),https://link.springer.com/journal/volumesAndIssues/894,Springer Science+Business Media B.V.,1610-2940,0948-5023,1995-02-01,1996-12-31,,,,,,
15,Informatik - Forschung und Entwicklung,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/450,Springer Verlag,0178-3564,0949-2925,1997-01-01,2008-12-31,,,,,,
16,The VLDB Journal,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/778,Springer Science+Business Media B.V.,1066-8888,0949-877X,1997-01-01,Present,,,,,,
17,The VLDB Journal,SpringerLINK Archive (CRKN),https://link.springer.com/journal/volumesAndIssues/778,Springer Science+Business Media B.V.,1066-8888,0949-877X,1992-07-01,1996-12-31,,,,,,
18,International journal of refractory metals and hard materials,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/international-journal-of-refractory-metals-and-hard-materials,Elsevier,0263-4368,0958-0611,1995-01-01,Present,,,,,,
19,Journal of Orthopaedics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-orthopaedics,Elsevier,,0972-978X,2013-03-01,Present,,,,,,
20,Journal of Chemical Sciences,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12039,Springer Science+Business Media B.V.,0974-3626,0973-7103,1997-01-01,Present,,,,,,
21,Pramana,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12043,Springer Science+Business Media B.V.,0304-4289,0973-7111,1997-01-01,Present,,,,,,
22,Resonance: Journal of Science Education,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12045,Springer Science+Business Media B.V.,0971-8044,0973-712X,1997-01-01,Present,,,,,,
23,Journal of biosciences,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12038,Springer Science+Business Media B.V.,0250-5991,0973-7138,1997-01-01,Present,,,,,,
24,Bulletin of materials science,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12034,Springer Science+Business Media B.V.,0250-4707,0973-7669,1997-01-01,Present,,,,,,
25,Sadhana: Academy Proceedings in Engineering Sciences,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12046,Springer Science+Business Media B.V.,0256-2499,0973-7677,1997-01-01,Present,,,,,,
26,Proceedings - Mathematical Sciences,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12044,Springer Science+Business Media B.V.,0253-4142,0973-7685,1997-01-01,Present,,,,,,
27,The Indian Journal of Pediatrics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12098,Springer India,0019-5456,0973-7693,1997-01-01,Present,,,,,,
28,Indian Journal of Otolaryngology and Head & Neck Surgery,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12070,Springer India,2231-3796,0973-7707,1997-01-01,Present,,,,,,
29,Indian Journal of Microbiology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12088,Springer Science+Business Media B.V.,0046-8991,0973-7715,2007-01-01,Present,,,,,,
30,Indian journal of thoracic and cardiovascular surgery,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12055,Springer India,0970-9134,0973-7723,2000-01-01,Present,,,,,,
31,Journal of genetics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12041,Springer Science+Business Media B.V.,0022-1333,0973-7731,1997-01-01,Present,,,,,,
32,Journal of Earth system science,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12040,Springer Science+Business Media B.V.,2347-4327,0973-774X,1997-01-01,Present,,,,,,
33,Journal of astrophysics and astronomy,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12036,Springer Science+Business Media B.V.,0250-6335,0973-7758,1997-01-01,Present,,,,,,
34,Indian Journal of Surgery,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12262,Springer Science+Business Media B.V.,0972-2068,0973-9793,2007-01-01,Present,,,,,,
35,Global Journal of Flexible Systems Management,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/40171,Springer India,0972-2696,0974-0198,2012-01-01,Present,,,,,,
36,Indian Journal of Plant Physiology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/40502,Springer Science+Business Media B.V.,0019-5502,0974-0252,2013-01-01,Present,,,,,,
37,Indian journal of clinical biochemistry,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12291,Springer Science+Business Media B.V.,0970-1915,0974-0422,1997-01-01,Present,,,,,,
38,Physiology and Molecular Biology of Plants,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12298,Springer Science+Business Media B.V.,0971-5894,0974-0430,2008-01-01,Present,,,,,,
39,Indian Journal of Hematology and Blood Transfusion,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12288,Springer,0971-4502,0974-0449,2007-01-01,Present,,,,,,
40,Sugar Tech,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12355,Springer Science+Business Media B.V.,0972-1525,0974-0740,1999-01-01,Present,,,,,,
41,Journal of Plant Biochemistry & Biotechnology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13562,Springer Science+Business Media B.V.,0971-7811,0974-1275,1997-01-01,Present,,,,,,
42,Journal of the Indian Society of Remote Sensing,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12524,Springer Science+Business Media B.V.,0255-660X,0974-3006,1997-01-01,Present,,,,,,
43,Differential Equations and Dynamical Systems,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12591,Springer Science+Business Media B.V.,0971-3514,0974-6870,2008-01-01,Present,,,,,,
44,Journal of the Geological Society of India,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12594,Springer Science+Business Media B.V.,0016-7622,0974-6889,2009-01-01,Present,,,,,,
45,Journal of Hand and Microsurgery,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12593,Thieme Medical Publishers Incorporated,0974-3227,0974-6897,2009-01-01,Present,,,,,,
46,Journal of Optics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12596,Springer Science+Business Media B.V.,0972-8821,0974-6900,2000-01-01,Present,,,,,,
47,Proceedings of the Zoological Society,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12595,Springer Science+Business Media B.V.,0373-5893,0974-6919,2009-01-01,Present,,,,,,
48,Indian pediatrics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13312,Springer India,0019-6061,0974-7559,2010-01-01,Present,,,,,,
49,Journal of Maxillofacial and Oral Surgery,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12663,Springer India,0972-8279,0974-942X,2009-01-01,Present,,,,,,
50,Indian Journal of Physics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12648,Springer Science+Business Media B.V.,0973-1458,0974-9845,2009-01-01,Present,,,,,,
51,Mapan: Journal of Metrology Society of India,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12647,Springer Science+Business Media B.V.,0970-3950,0974-9853,2009-01-01,Present,,,,,,
52,Psychological Studies,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12646,Springer India,0033-2968,0974-9861,2009-01-01,Present,,,,,,
53,OPSEARCH,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12597,Springer Science+Business Media B.V.,0030-3887,0975-0320,2009-01-01,Present,,,,,,
54,Journal of Parasitic Diseases,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12639,Springer Science+Business Media B.V.,0971-7196,0975-0703,2009-01-01,Present,,,,,,
55,Indian journal of gastroenterology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12664,Springer India,0254-8860,0975-0711,2009-01-01,Present,,,,,,
56,International Journal of Plastics Technology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12588,Springer Science+Business Media B.V.,0972-656X,0975-072X,2009-01-01,Present,,,,,,
57,Transactions of the Indian Institute of Metals,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12666,Springer Science+Business Media B.V.,0972-2815,0975-1645,2008-01-01,Present,,,,,,
58,International Journal of Advances in Engineering Sciences and Applied Mathematics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/12572,Springer India,0975-0770,0975-5616,2009-01-01,Present,,,,,,
59,Journal of Obstetrics and Gynaecology of India,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13224,Springer India,0971-9202,0975-6434,2010-01-01,Present,,,,,,
60,Indian Journal of Pure and Applied Mathematics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13226,Springer Science+Business Media B.V.,0019-5588,0975-7465,2010-01-01,Present,,,,,,
61,Journal of Food Science and Technology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13197,Springer Science+Business Media B.V.,0022-1155,0975-8402,2010-01-01,Present,,,,,,
62,International Journal of Systems Assurance Engineering and Management,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13198,Springer Science+Business Media B.V.,0975-6809,0976-4348,2010-01-01,Present,,,,,,
63,Indian Journal of Surgical Oncology,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13193,Springer India,0975-7651,0976-6952,2010-01-01,Present,,,,,,
64,The Nucleus,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13237,Springer Science+Business Media B.V.,0029-568X,0976-7975,2010-01-01,Present,,,,,,
65,"Sankhyā: The Indian Journal of Statistics, Series A (2008-)",SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13171,Springer,0976-836X,0976-8378,2010-01-01,Present,,,,,,
66,"Sankhyā: The Indian Journal of Statistics, Series B (2008-)",SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13571,Springer,0976-8386,0976-8394,2010-01-01,Present,,,,,,
67,Journal of The Indian Academy of Wood Science,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13196,Springer Science+Business Media B.V.,0972-172X,0976-8432,2010-01-01,Present,,,,,,
68,Journal of High Energy Physics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/13130,Springer Science+Business Media B.V.,1126-6708,1029-8479,2010-01-01,2013-12-31,,,,,,
69,Systematic Biology,Oxford Journals (CRKN),https://academic.oup.com/sysbio/issue,Oxford University Press,1063-5157,1076-836X,1996-03-01,Present,,,,,,
70,Modern Judaism: A Journal of Jewish Ideas and Experience,Oxford Journals (CRKN),https://academic.oup.com/mj/issue,Oxford University Press,0276-1114,1086-3273,1996-01-01,Present,,,,,,
71,Nitric Oxide,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/nitric-oxide,Elsevier Inc NY Journals,1089-8603,1089-8611,1997-02-01,Present,,,,,,
72,Journal of molecular biology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-molecular-biology,Elsevier,0022-2836,1089-8638,1993-01-05,Present,,,,,,
73,Genomics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/genomics,Elsevier,0888-7543,1089-8646,1993-01-01,Present,,,,,,
74,Journal of Emergency Medicine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/the-journal-of-emergency-medicine,Elsevier,0736-4679,1090-1280,1995-01-01,Present,,,,,,
75,Advances in applied mathematics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/advances-in-applied-mathematics,Elsevier,0196-8858,1090-2074,1980-03-01,Present,,,,,,
76,Advances in Mathematics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/advances-in-mathematics,Elsevier,0001-8708,1090-2082,1961-01-01,Present,,,,,,
77,Atomic Data and Nuclear Data Tables,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/atomic-data-and-nuclear-data-tables,Elsevier Science Limited,0092-640X,1090-2090,1993-01-01,Present,,,,,,
78,Biochemical and biophysical research communications,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/biochemical-and-biophysical-research-communications,Elsevier,0006-291X,1090-2104,1993-01-15,Present,,,,,,
79,Biological Control,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/biological-control,Elsevier Science Limited,1049-9644,1090-2112,1993-03-01,Present,,,,,,
80,Bioorganic chemistry,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/bioorganic-chemistry,Academic Press,0045-2068,1090-2120,1993-03-01,Present,,,,,,
81,"Brain, behavior, and immunity",ScienceDirect (CRKN),https://www.sciencedirect.com/journal/brain-behavior-and-immunity,Elsevier Science Limited,0889-1591,1090-2139,1993-03-01,Present,,,,,,
82,Brain and cognition,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/brain-and-cognition,Elsevier Science Limited,0278-2626,1090-2147,1993-01-01,Present,,,,,,
83,Brain and Language,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/brain-and-language,Elsevier Science Limited,0093-934X,1090-2155,1993-01-01,Present,,,,,,
84,Cellular Immunology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/cellular-immunology,Elsevier,0008-8749,1090-2163,1993-01-01,Present,,,,,,
85,Clinical immunology and immunopathology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/clinical-immunology-and-immunopathology,Elsevier Science Limited,0090-1229,1090-2341,1993-01-01,1998-12-31,,,,,,
86,Computer vision and image understanding,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/computer-vision-and-image-understanding,Elsevier,1077-3142,1090-235X,1995-01-01,Present,,,,,,
87,Computers and biomedical research,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/computers-and-biomedical-research,Academic Press,0010-4809,1090-2368,1993-02-01,2000-12-31,,,,,,
88,Consciousness and Cognition,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/consciousness-and-cognition,Elsevier,1053-8100,1090-2376,1993-03-01,Present,,,,,,
89,Contemporary educational psychology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/contemporary-educational-psychology,Elsevier,0361-476X,1090-2384,1993-01-01,Present,,,,,,
90,Cryobiology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/cryobiology,Elsevier,0011-2240,1090-2392,1993-02-01,Present,,,,,,
91,Developmental Review,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/developmental-review,Elsevier Science Limited,0273-2297,1090-2406,1993-03-01,Present,,,,,,
92,Ecotoxicology and environmental safety,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/ecotoxicology-and-environmental-safety,Elsevier Science Limited,0147-6513,1090-2414,1993-02-01,Present,,,,,,
93,Experimental Cell Research,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/experimental-cell-research,Elsevier,0014-4827,1090-2422,1993-01-01,Present,,,,,,
94,Experimental neurology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/experimental-neurology,Elsevier Science Limited,0014-4886,1090-2430,1993-01-01,Present,,,,,,
95,Experimental parasitology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/experimental-parasitology,Elsevier Science Limited,0014-4894,1090-2449,1993-02-01,Present,,,,,,
96,Explorations in economic history,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/explorations-in-economic-history,Elsevier,0014-4983,1090-2457,1993-01-01,Present,,,,,,
97,Finite fields and their applications,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/finite-fields-and-their-applications,Academic Press,1071-5797,1090-2465,1995-01-01,Present,,,,,,
98,Games and economic behavior,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/games-and-economic-behavior,Elsevier Science Limited,0899-8256,1090-2473,1993-01-01,Present,,,,,,
99,Graphical models and image processing,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/graphical-models-and-image-processing,Elsevier Science Limited,1077-3169,1090-2481,1995-01-01,1999-11-30,,,,,,
100,Historia mathematica,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/historia-mathematica,Elsevier Inc NY Journals,0315-0860,1090-249X,1974-02-01,Present,,,,,,
101,Icarus,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/icarus,Elsevier Science,0019-1035,1090-2643,1993-01-01,Present,,,,,,
102,Information and computation,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/information-and-computation,Elsevier Inc NY Journals,0890-5401,1090-2651,1987-01-01,Present,,,,,,
103,Journal of algebra,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-algebra,Elsevier Science,0021-8693,1090-266X,1964-04-01,Present,,,,,,
104,Journal of Algorithms,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-algorithms,Elsevier Inc NY Journals,0196-6774,1090-2678,1993-01-01,2009-10-31,,,,,,
105,Journal of anthropological archaeology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-anthropological-archaeology,Elsevier,0278-4165,1090-2686,1993-03-01,Present,,,,,,
106,Journal of Catalysis,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-catalysis,Elsevier,0021-9517,1090-2694,1993-01-01,Present,,,,,,
107,Journal of Complexity,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-complexity,Elsevier Science,0885-064X,1090-2708,1985-10-01,Present,,,,,,
108,Journal of computational physics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-computational-physics,Elsevier Inc NY Journals,0021-9991,1090-2716,1993-01-01,Present,,,,,,
109,Journal of computer and system sciences,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-computer-and-system-sciences,Elsevier Inc NY Journals,0022-0000,1090-2724,1967-04-01,Present,,,,,,
110,Journal of differential equations,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-differential-equations,Elsevier Science,0022-0396,1090-2732,1965-01-01,Present,,,,,,
111,Physics of the solid state,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11451,Springer Science+Business Media B.V.,1063-7834,1090-6460,1997-01-01,Present,,,,,,
112,Semiconductors,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11453,Springer Science+Business Media B.V.,1063-7826,1090-6479,1997-01-01,Present,,,,,,
113,JETP Letters,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11448,Springer Science+Business Media B.V.,0021-3640,1090-6487,1997-01-01,Present,,,,,,
114,Journal of Experimental and Theoretical Physics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11447,Springer Science+Business Media B.V.,1063-7761,1090-6509,1997-01-01,Present,,,,,,
115,Technical physics,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11454,Springer Science+Business Media B.V.,1063-7842,1090-6525,1997-01-01,Present,,,,,,
116,Technical physics letters,SpringerLINK (CRKN),https://link.springer.com/journal/volumesAndIssues/11455,Springer Science+Business Media B.V.,1063-7850,1090-6533,1997-01-01,Present,,,,,,
117,Research in Economics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/research-in-economics,Elsevier Science Limited,1090-9443,1090-9451,1997-04-01,Present,,,,,,
118,Advances in environmental research,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/advances-in-environmental-research,Elsevier Inc NY Journals,1093-0191,1093-7927,2000-06-01,2004-03-31,,,,,,
119,Digital signal processing,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/digital-signal-processing,Elsevier,1051-2004,1095-4333,1993-01-01,Present,,,,,,
120,Biochemical and molecular medicine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/biochemical-and-molecular-medicine,Elsevier Science Limited,1077-3150,1095-5577,1995-02-01,1997-12-31,,,,,,
121,Cognitive psychology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/cognitive-psychology,Academic Press,0010-0285,1095-5623,1993-01-01,Present,,,,,,
122,Developmental Biology: An official journal of the Society for Developmental Biology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/developmental-biology,Elsevier,0012-1606,1095-564X,1993-01-01,Present,,,,,,
123,Frontiers in neuroendocrinology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/frontiers-in-neuroendocrinology,Elsevier,0091-3022,1095-6808,1993-01-01,Present,,,,,,
124,Fundamental and Applied Toxicology,Oxford Journals (CRKN),https://academic.oup.com/toxsci/issue,Oxford University Press,0272-0590,1095-6832,1996-01-01,1997-12-31,,,,,,
125,General and comparative endocrinology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/general-and-comparative-endocrinology,Academic Press,0016-6480,1095-6840,1993-01-01,Present,,,,,,
126,Gynecologic Oncology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/gynecologic-oncology,Elsevier,0090-8258,1095-6859,1993-01-01,Present,,,,,,
127,Hormones and behavior,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/hormones-and-behavior,Elsevier,0018-506X,1095-6867,1993-03-01,Present,,,,,,
128,Journal of colloid and interface science,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-colloid-and-interface-science,Elsevier Inc NY Journals,0021-9797,1095-7103,1993-01-01,Present,,,,,,
129,Journal of comparative economics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-comparative-economics,Elsevier,0147-5967,1095-7227,1993-03-01,Present,,,,,,
130,Journal of economic theory,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-economic-theory,Elsevier Science,0022-0531,1095-7235,1993-02-01,Present,,,,,,
131,Journal of multivariate analysis,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-multivariate-analysis,Academic Press,0047-259X,1095-7243,1971-04-01,Present,,,,,,
132,Journal of research in personality,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-research-in-personality,Elsevier Science Limited,0092-6566,1095-7251,1993-03-01,Present,,,,,,
133,Journal of solid state chemistry,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-solid-state-chemistry,Elsevier Science,0022-4596,1095-726X,1993-01-01,Present,,,,,,
134,Anaerobe,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/anaerobe,Elsevier,1075-9964,1095-8274,1995-02-01,Present,,,,,,
135,Animal Behaviour,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/animal-behaviour,Elsevier,0003-3472,1095-8282,1993-01-01,Present,,,,,,
136,Annals of Botany,Oxford Journals (CRKN),https://academic.oup.com/aob/issue,Oxford University Press,0305-7364,1095-8290,1996-01-01,Present,,,,,,
137,Appetite,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/appetite,Elsevier Science Limited,0195-6663,1095-8304,1993-02-01,Present,,,,,,
138,Biological Journal of the Linnean Society,Oxford Journals (CRKN),https://academic.oup.com/biolinnean/issue,Oxford University Press,0024-4066,1095-8312,1996-01-01,Present,,,,,,
139,Biologicals,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/biologicals,Elsevier,1045-1056,1095-8320,1993-03-01,Present,,,,,,
140,Botanical Journal of the Linnean Society,Oxford Journals (CRKN),https://academic.oup.com/botlinnean/issue,Oxford University Press,0024-4074,1095-8339,1996-01-01,Present,,,,,,
141,The British accounting review,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/the-british-accounting-review,Elsevier,0890-8389,1095-8347,1993-03-01,Present,,,,,,
142,Computer speech & language,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/computer-speech-and-language,Elsevier,0885-2308,1095-8363,1993-01-01,Present,,,,,,
143,Journal of visual languages & computing,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-visual-languages-and-computing,Elsevier,1045-926X,1095-8533,1993-03-01,Present,,,,,,
144,Journal of theoretical biology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-theoretical-biology,Elsevier Science Limited,0022-5193,1095-8541,1993-01-07,Present,,,,,,
145,Journal of symbolic computation,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-symbolic-computation,Elsevier,0747-7171,1095-855X,1985-03-01,Present,,,,,,
146,Journal of sound and vibration,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-sound-and-vibration,Elsevier Science Limited,0022-460X,1095-8568,1993-01-08,Present,,,,,,
147,Journal of phonetics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-phonetics,Elsevier Science Limited,0095-4470,1095-8576,1995-01-01,Present,,,,,,
148,Journal of molecular and cellular cardiology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-molecular-and-cellular-cardiology,Elsevier,0022-2828,1095-8584,1993-01-01,Present,,,,,,
149,Journal of network and computer applications,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-network-and-computer-applications,Elsevier,1084-8045,1095-8592,1996-01-01,Present,,,,,,
150,Journal of human evolution,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-human-evolution,Elsevier Science Limited,0047-2484,1095-8606,1993-01-01,Present,,,,,,
