Title,PackageName,URL,Publisher,PrintISSN,OnlineISSN,ManagedCoverageBegin,ManagedCoverageEnd,0
EAU update series,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/eau-update-series,Elsevier Science Limited,1570-9124,1873-2038,2003-03-01,2005-12-31,3796
Electric power systems research,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/electric-power-systems-research,Elsevier Science Limited,0378-7796,1873-2046,1995-01-01,Present,3797
Health & Place,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/health-and-place,Elsevier Science Limited,1353-8292,1873-2054,1995-03-01,Present,3798
Industrial marketing management,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/industrial-marketing-management,Elsevier,0019-8501,1873-2062,1995-01-01,Present,3799
Journal of accounting and public policy,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-accounting-and-public-policy,Elsevier,0278-4254,1873-2070,1994-12-01,Present,3800
Journal of air transport management,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-air-transport-management,Elsevier,0969-6997,1873-2089,1995-03-01,Present,3801
Annals of nuclear energy,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/annals-of-nuclear-energy,Elsevier,0306-4549,1873-2100,1995-01-01,Present,3802
Physica A,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/physica-a-statistical-mechanics-and-its-applications,North Holland,0378-4371,1873-2119,1995-01-01,Present,3803
Physica B: Condensed Matter,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/physica-b-condensed-matter,Elsevier,0921-4526,1873-2135,1995-01-01,Present,3804
Physica C: Superconductivity and Its Applications,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/physica-c-superconductivity-and-its-applications,Elsevier,0921-4534,1873-2143,1995-01-01,Present,3805
Progress in Energy and Combustion Science,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/progress-in-energy-and-combustion-science,Elsevier,0360-1285,1873-216X,1995-01-01,Present,3806
Progress in Histochemistry and Cytochemistry,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/progress-in-histochemistry-and-cytochemistry,Elsevier Gmbh Urban & Fischer,0079-6336,1873-2186,1995-01-01,Present,3807
Progress in Lipid Research,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/progress-in-lipid-research,Elsevier,0163-7827,1873-2194,1995-01-01,Present,3808
Progress in Materials Science,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/progress-in-materials-science,Elsevier,0079-6425,1873-2208,1989-01-01|1995-01-01,1989-12-31|Present,3809
Animal feed science and technology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/animal-feed-science-and-technology,Elsevier,0377-8401,1873-2216,1995-01-01,Present,3810
Progress in Particle and Nuclear Physics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/progress-in-particle-and-nuclear-physics,Pergamon,0146-6410,1873-2224,1995-01-01,Present,3811
Animal reproduction science,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/animal-reproduction-science,Elsevier,0378-4320,1873-2232,1995-01-01,Present,3812
Agricultural and forest meteorology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/agricultural-and-forest-meteorology,Elsevier,0168-1923,1873-2240,1995-01-01,Present,3813
Plant Science,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/plant-science,Elsevier,0168-9452,1873-2259,1995-01-01,Present,3814
Agricultural systems,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/agricultural-systems,Elsevier,0308-521X,1873-2267,1995-01-01,Present,3815
"Plastics, Additives and Compounding",ScienceDirect (CRKN),https://www.sciencedirect.com/journal/plastics-additives-and-compounding,Elsevier,1464-391X,1873-2275,1999-04-01,2009-12-31,3816
Agricultural water management,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/agricultural-water-management,Elsevier,0378-3774,1873-2283,1995-04-01,Present,3817
Polymer,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/polymer,Elsevier,0032-3861,1873-2291,1995-01-01,Present,3818
"Agriculture, Ecosystems & Environment",ScienceDirect (CRKN),https://www.sciencedirect.com/journal/agriculture-ecosystems-and-environment,Elsevier,0167-8809,1873-2305,1995-01-01,Present,3819
Polymer Contents,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/polymer-contents,Elsevier Science Limited,0883-153X,1873-2313,1995-01-01,2010-12-31,3820
Polymer Degradation and Stability,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/polymer-degradation-and-stability,Elsevier,0141-3910,1873-2321,1995-01-01,Present,3821
Polymer Testing,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/polymer-testing,Elsevier,0142-9418,1873-2348,1995-01-01,Present,3822
Postharvest Biology and Technology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/postharvest-biology-and-technology,Elsevier,0925-5214,1873-2356,1995-01-01,Present,3823
Neuromuscular Disorders,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/neuromuscular-disorders,Elsevier,0960-8966,1873-2364,1995-01-01,Present,3824
Precision Engineering,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/precision-engineering,Elsevier,0141-6359,1873-2372,1995-01-01,Present,3825
Journal of biomechanics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-biomechanics,Elsevier,0021-9290,1873-2380,1995-01-01,Present,3826
Experimental Hematology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/experimental-hematology,Elsevier,0301-472X,1873-2399,1999-01-01,Present,3827
Biological psychiatry,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/biological-psychiatry,Elsevier,0006-3223,1873-2402,1995-01-01,Present,3828
Physics Letters A,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/physics-letters-a,North Holland,0375-9601,1873-2429,1995-01-02,Present,3829
Advances in enzyme regulation,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/advances-in-enzyme-regulation,Elsevier,0065-2571,1873-2437,1995-01-01,2011-12-31,3830
Physics Letters B,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/physics-letters-b,North Holland,0370-2693,1873-2445,1995-01-05,Present,3831
Acta Materialia,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/acta-materialia,Elsevier,1359-6454,1873-2453,1996-01-01,Present,3832
Annals of pure and applied logic,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/annals-of-pure-and-applied-logic,Elsevier,0168-0072,1873-2461,1983-07-01,Present,3833
Prevention & control,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/prevention-and-control,Elsevier Science Limited,1573-2088,1873-247X,2005-03-01,2008-01-31,3834
Laboratory Automation & Information Management,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/laboratory-automation-and-information-management,Elsevier Science Limited,1381-141X,1873-2488,1995-09-01,1999-12-31,3835
Urologic Oncology: Seminars and Original Investigations,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/urologic-oncology-seminars-and-original-investigations,Elsevier,1078-1439,1873-2496,1995-01-01,Present,3836
Journal of analytical and applied pyrolysis,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-analytical-and-applied-pyrolysis,Elsevier Science Limited,0165-2370,1873-250X,1995-02-01,Present,3837
Vaccine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/vaccine,Elsevier,0264-410X,1873-2518,1983-12-01,Present,3838
Journal of electron spectroscopy and related phenomena,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-electron-spectroscopy-and-related-phenomena,Elsevier Science Limited,0368-2048,1873-2526,1995-01-12,Present,3839
Veterinary immunology and immunopathology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/veterinary-immunology-and-immunopathology,Elsevier Science Limited,0165-2427,1873-2534,1979-11-01,Present,3840
Veterinary Microbiology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/veterinary-microbiology,Elsevier,0378-1135,1873-2542,1976-07-01,Present,3841
Veterinary parasitology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/veterinary-parasitology,Elsevier Science Limited,0304-4017,1873-2550,1975-07-01,Present,3842
Journal of electroanalytical chemistry,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-electroanalytical-chemistry,Elsevier,1572-6657,1873-2569,1995-01-03,Present,3843
Wear,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/wear,Elsevier,0043-1648,1873-2577,1995-01-01,Present,3844
Annals of epidemiology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/annals-of-epidemiology,Elsevier,1047-2797,1873-2585,1995-01-01,Present,3845
World pumps,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/world-pumps,Elsevier,0262-1762,1873-2593,1995-01-01,Present,3846
American Journal of Preventive Medicine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/american-journal-of-preventive-medicine,Elsevier Health Sciences,0749-3797,1873-2607,1998-01-01,Present,3847
Trends in cardiovascular medicine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/trends-in-cardiovascular-medicine,Elsevier,1050-1738,1873-2615,1995-01-01,Present,3848
Transplantation Proceedings,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/transplantation-proceedings,Elsevier,0041-1345,1873-2623,1997-02-01,Present,3849
Journal of non-Newtonian fluid mechanics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-non-newtonian-fluid-mechanics,Elsevier,0377-0257,1873-2631,1995-01-01,Present,3850
Journal of pharmaceutical and biomedical analysis,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-pharmaceutical-and-biomedical-analysis,Elsevier,0731-7085,1873-264X,1995-01-01,Present,3851
Journal of Photochemistry and Photobiology A: Chemistry,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-photochemistry-and-photobiology-a-chemistry,Elsevier,1010-6030,1873-2666,1995-01-04,Present,3852
Zoologischer Anzeiger,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/zoologischer-anzeiger,Elsevier Gmbh Urban & Fischer,0044-5231,1873-2674,2001-01-01,Present,3853
Journal of Photochemistry and Photobiology B: Biology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-photochemistry-and-photobiology-b-biology,Elsevier,1011-1344,1873-2682,1995-01-01,Present,3854
Plant Physiology and Biochemistry,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/plant-physiology-and-biochemistry,Elsevier Masson SAS,0981-9428,1873-2690,1998-01-01,Present,3855
Proceedings of the Combustion Institute,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/proceedings-of-the-combustion-institute,Elsevier,1540-7489,1873-2704,2000-01-01,Present,3856
Scripta Metallurgica et Materialia,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/scripta-metallurgica-et-materialia,Pergamon,0956-716X,1873-2712,1995-01-01,1995-12-15,3857
Zoology: Analysis of Complex Systems,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/zoology,Elsevier Gmbh Urban & Fischer,0944-2006,1873-2720,2001-01-01,Present,3858
Journal of Photochemistry and Photobiology C: Photochemistry Reviews,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-photochemistry-and-photobiology-c-photochemistry-reviews,Elsevier,1389-5567,1873-2739,2000-06-29,Present,3859
Brain research bulletin,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/brain-research-bulletin,Elsevier,0361-9230,1873-2747,1995-01-01,Present,3860
Journal of power sources,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-power-sources,Elsevier Science Limited,0378-7753,1873-2755,1995-01-01,Present,3861
Bone,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/bone,Elsevier,8756-3282,1873-2763,1995-01-01,Present,3862
Journal of process control,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-process-control,Elsevier,0959-1524,1873-2771,1995-01-01,Present,3863
Reviews in Gynaecological Practice,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/reviews-in-gynaecological-practice,Elsevier Science Limited,1471-7697,1873-278X,2001-01-01,2005-12-31,3864
International journal of mass spectrometry,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/international-journal-of-mass-spectrometry,Elsevier Science Limited,1387-3806,1873-2798,1998-06-01,Present,3865
International journal of mass spectrometry and ion processes,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/international-journal-of-mass-spectrometry-and-ion-processes,Elsevier Science Limited,0168-1176,1873-2801,1995-01-10,1998-05-31,3866
Tuberculosis,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/tuberculosis,Elsevier Ltd,1472-9792,1873-281X,2001-02-01,Present,3867
Ultrasonics sonochemistry,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/ultrasonics-sonochemistry,Elsevier,1350-4177,1873-2828,1995-01-01,Present,3868
Automatica: A journal of IFAC the International Federation of Automatic Control,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/automatica,Elsevier,0005-1098,1873-2836,1995-01-01,Present,3869
Atmospheric environment,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/atmospheric-environment,Elsevier,1352-2310,1873-2844,1995-01-01,Present,3870
Astroparticle Physics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/astroparticle-physics,Elsevier,0927-6505,1873-2852,1995-01-01,Present,3871
Artificial intelligence in medicine,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/artificial-intelligence-in-medicine,Elsevier,0933-3657,1873-2860,1995-02-01,Present,3872
Acta Metallurgica et Materialia,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/acta-metallurgica-et-materialia,Pergamon,0956-7151,1873-2879,1995-01-01,1995-12-31,3873
"Chaos, Solitons & Fractals",ScienceDirect (CRKN),https://www.sciencedirect.com/journal/chaos-solitons-and-fractals,Elsevier,0960-0779,1873-2887,1995-01-01,Present,3874
Atmospheric research,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/atmospheric-research,Elsevier Science Limited,0169-8095,1873-2895,1995-01-01,Present,3875
Biomass and bioenergy,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/biomass-and-bioenergy,Elsevier,0961-9534,1873-2909,1995-01-01,Present,3876
Biological conservation,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/biological-conservation,Elsevier Science Limited,0006-3207,1873-2917,1995-01-01,Present,3877
Biochemical systematics and ecology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/biochemical-systematics-and-ecology,Elsevier,0305-1978,1873-2925,1995-01-01,Present,3878
Clinical biochemistry,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/clinical-biochemistry,Elsevier,0009-9120,1873-2933,1995-02-01,Present,3879
Chemistry and physics of lipids,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/chemistry-and-physics-of-lipids,Elsevier,0009-3084,1873-2941,1995-01-12,Present,3880
Biochemical engineering journal,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/biochemical-engineering-journal,Elsevier,1369-703X,1873-295X,1998-01-01,Present,3881
Biochemical pharmacology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/biochemical-pharmacology,Elsevier Science Limited,0006-2952,1873-2968,1995-01-06,Present,3882
Bioresource technology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/bioresource-technology,Elsevier,0960-8524,1873-2976,1995-01-01,Present,3883
Calphad,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/calphad,Elsevier,0364-5916,1873-2984,1995-03-01,Present,3884
Sensors and Actuators A: Physical,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/sensors-and-actuators-a-physical,Elsevier,0924-4247,1873-3069,1995-01-01,Present,3885
Sensors and Actuators B: Chemical,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/sensors-and-actuators-b-chemical,Elsevier Science Limited,0925-4005,1873-3077,1995-01-01,Present,3886
Solid State Sciences,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/solid-state-sciences,Elsevier Masson SAS,1293-2558,1873-3085,1999-01-01,Present,3887
Microporous and Mesoporous Materials,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/microporous-and-mesoporous-materials,Elsevier,1387-1811,1873-3093,1998-02-01,Present,3888
Microporous Materials,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/microporous-materials,Elsevier,0927-6513,1873-3107,1995-01-01,1997-12-31,3889
Zeolites,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/zeolites,Elsevier Science Limited,0144-2449,1873-3115,1995-01-01,1997-12-31,3890
Journal of membrane science,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-membrane-science,Elsevier,0376-7388,1873-3123,1995-01-13,Present,3891
Journal of Molecular Catalysis A: Chemical,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-molecular-catalysis-a-chemical,Elsevier,1381-1169,1873-314X,1995-01-02,Present,3892
Journal of Molecular Catalysis B: Enzymatic,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-molecular-catalysis-b-enzymatic,Elsevier,1381-1177,1873-3158,1995-12-04,Present,3893
Journal of molecular liquids,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-molecular-liquids,Elsevier Science Limited,0167-7322,1873-3166,1995-01-01,Present,3894
Chemical Engineering and Processing: Process Intensification,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/chemical-engineering-and-processing-process-intensification,Elsevier,0255-2701,1873-3204,1995-02-01,Present,3895
Chemical engineering journal,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/chemical-engineering-journal,Elsevier,1385-8947,1873-3212,1997-01-15,Present,3896
The chemical engineering journal and the biochemical engineering journal,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/the-chemical-engineering-journal-and-the-biochemical-engineering-journal,Elsevier Science Limited,0923-0467,1873-3220,1995-01-01,1997-01-15,3897
Chemometrics and intelligent laboratory systems,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/chemometrics-and-intelligent-laboratory-systems,Elsevier Science Limited,0169-7439,1873-3239,1995-01-01,Present,3898
Inorganica chimica acta,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/inorganica-chimica-acta,Elsevier,0020-1693,1873-3255,1995-01-01,Present,3899
Learning and instruction,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/learning-and-instruction,Elsevier,0959-4752,1873-3263,1995-01-01,Present,3900
Journal of Retailing,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-retailing,Elsevier,0022-4359,1873-3271,1994-12-01,Present,3901
Powder Technology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/powder-technology,Elsevier,0032-5910,1873-328X,1995-01-01,Present,3902
Process biochemistry,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/process-biochemistry,Elsevier,1359-5113,1873-3298,1995-01-01,Present,3903
Progress in Nuclear Magnetic Resonance Spectroscopy,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/progress-in-nuclear-magnetic-resonance-spectroscopy,Elsevier Ltd,0079-6565,1873-3301,1995-01-01,Present,3904
Progress in organic coatings,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/progress-in-organic-coatings,Elsevier,0300-9440,1873-331X,1995-01-01,Present,3905
Journal of fluorine chemistry,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-fluorine-chemistry,Elsevier,0022-1139,1873-3328,1995-01-01,Present,3906
Journal of hazardous materials,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-hazardous-materials,Elsevier,0304-3894,1873-3336,1995-01-01,Present,3907
Journal of inorganic biochemistry,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-inorganic-biochemistry,Elsevier,0162-0134,1873-3344,1995-01-01,Present,3908
Journal of loss prevention in the process industries,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-loss-prevention-in-the-process-industries,Elsevier Science Limited,0950-4230,1873-3352,1995-01-01,Present,3909
Psychoneuroendocrinology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/psychoneuroendocrinology,Elsevier Health Sciences,0306-4530,1873-3360,1995-01-01,Present,3910
Research in Developmental Disabilities,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/research-in-developmental-disabilities,Elsevier,0891-4222,1873-3379,1995-01-01,Present,3911
Scandinavian journal of management,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/scandinavian-journal-of-management,Elsevier,0956-5221,1873-3387,1995-03-01,Present,3912
Language & communication,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/language-and-communication,Elsevier,0271-5309,1873-3395,1995-01-01,Present,3913
The Leadership Quarterly,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/the-leadership-quarterly,Elsevier,1048-9843,1873-3409,1995-03-01,Present,3914
Learning and individual differences,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/learning-and-individual-differences,Elsevier Science Limited,1041-6080,1873-3425,1995-01-01,Present,3915
European Journal of Pharmaceutics and Biopharmaceutics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/european-journal-of-pharmaceutics-and-biopharmaceutics,Elsevier,0939-6411,1873-3441,1997-01-01,Present,3916
International journal of pharmaceutics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/international-journal-of-pharmaceutics,Elsevier Science Limited,0378-5173,1873-3476,1995-01-02,Present,3917
Clinica chimica acta,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/clinica-chimica-acta,Elsevier,0009-8981,1873-3492,1995-01-16,Present,3918
Journal of school psychology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-school-psychology,Elsevier,0022-4405,1873-3506,1994-12-01,Present,3919
Neuropsychologia,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/neuropsychologia,Elsevier,0028-3932,1873-3514,1995-01-01,Present,3920
New Ideas in Psychology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/new-ideas-in-psychology,Elsevier,0732-118X,1873-3522,1995-03-01,Present,3921
Organizational Dynamics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/organizational-dynamics,Elsevier,0090-2616,1873-3530,1994-12-01,Present,3922
Personality and Individual Differences,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/personality-and-individual-differences,Elsevier,0191-8869,1873-3549,1995-01-01,Present,3923
Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/spectrochimica-acta-part-a-molecular-and-biomolecular-spectroscopy,Elsevier Science Limited,1386-1425,1873-3557,1995-01-01,Present,3924
Spectrochimica Acta Part B: Atomic Spectroscopy,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/spectrochimica-acta-part-b-atomic-spectroscopy,Elsevier,0584-8547,1873-3565,1995-01-01,Present,3925
Talanta,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/talanta,Elsevier Science Limited,0039-9140,1873-3573,1995-01-01,Present,3926
Tetrahedron Letters,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/tetrahedron-letters,Pergamon,0040-4039,1873-3581,1995-01-02,Present,3927
Vibrational spectroscopy,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/vibrational-spectroscopy,Elsevier,0924-2031,1873-3697,1995-01-01,Present,3928
Phytochemistry,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/phytochemistry,Elsevier,0031-9422,1873-3700,1995-01-01,Present,3929
Polyhedron,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/polyhedron,Elsevier,0277-5387,1873-3719,1995-01-01,Present,3930
Advances in colloid and interface science,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/advances-in-colloid-and-interface-science,Elsevier,0001-8686,1873-3727,1995-01-03,Present,3931
Trends in pharmacological sciences,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/trends-in-pharmacological-sciences,Elsevier,0165-6147,1873-3735,1995-01-01,Present,3932
Dyes and pigments,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/dyes-and-pigments,Elsevier,0143-7208,1873-3743,1995-01-01,Present,3933
European journal of solid state and inorganic chemistry,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/european-journal-of-solid-state-and-inorganic-chemistry,Elsevier Masson SAS,0992-4361,1873-3751,1998-01-01,1998-12-31,3934
"Journal of chromatography B, Analytical Technologies in the Biomedical and Life Sciences",ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-chromatography-b,Elsevier,1570-0232,1873-376X,2002-01-05,Present,3935
Journal of chromatography A,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/journal-of-chromatography-a,Elsevier Science Limited,0021-9673,1873-3778,1995-01-06,Present,3936
Gas separation & purification,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/gas-separation-and-purification,Elsevier,0950-4214,1873-3786,1995-01-01,1996-12-31,3937
Separation and purification technology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/separation-and-purification-technology,Elsevier,1383-5866,1873-3794,1997-05-19,Present,3938
Separations Technology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/separations-technology,Elsevier,0956-9618,1873-3808,1995-02-01,1996-10-31,3939
Nuclear Physics B - Proceedings Supplements,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/nuclear-physics-b-proceedings-supplements,North Holland,0920-5632,1873-3832,1995-01-01,2014-12-31,3940
Coordination chemistry reviews,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/coordination-chemistry-reviews,Elsevier Science Limited,0010-8545,1873-3840,1995-01-01,Present,3941
Electrochimica acta,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/electrochimica-acta,Elsevier,0013-4686,1873-3859,1995-01-01,Present,3942
Applied Catalysis A: General,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/applied-catalysis-a-general,Elsevier,0926-860X,1873-3875,1995-01-05,Present,3943
Applied Catalysis B: Environmental,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/applied-catalysis-b-environmental,Elsevier,0926-3373,1873-3883,1995-02-11,Present,3944
Carbon,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/carbon,Elsevier,0008-6223,1873-3891,1995-01-01,Present,3945
Catalysis communications,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/catalysis-communications,Elsevier,1566-7367,1873-3905,2000-11-01,Present,3946
Cellular signalling,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/cellular-signalling,Elsevier,0898-6568,1873-3913,1995-01-01,Present,3947
Cement and concrete composites,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/cement-and-concrete-composites,Elsevier Science Limited,0958-9465,1873-393X,1995-01-01,Present,3948
Cement and concrete research,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/cement-and-concrete-research,Elsevier,0008-8846,1873-3948,1995-01-01,Present,3949
Ceramics international,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/ceramics-international,Elsevier Science Limited,0272-8842,1873-3956,1995-01-01,Present,3950
Mechanics Research Communications,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/mechanics-research-communications,Elsevier,0093-6413,1873-3972,1995-01-01,Present,3951
Mechanism and Machine Theory,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/mechanism-and-machine-theory,Elsevier,0094-114X,1873-3999,1995-01-01,Present,3952
Mechatronics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/mechatronics,Elsevier,0957-4158,1873-4006,1995-02-01,Present,3953
Medical Engineering & Physics,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/medical-engineering-and-physics,Elsevier,1350-4533,1873-4030,1995-01-01,Present,3954
Membrane Technology,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/membrane-technology,Elsevier,0958-2118,1873-4049,1995-01-01,Present,3955
Metal Finishing,ScienceDirect (CRKN),https://www.sciencedirect.com/journal/metal-finishing,Elsevier,0026-0576,1873-4057,1995-01-01,2013-12-31,3956
