Title,Year,DOI,DOI-URL,Accessible,PackageName,URL,Publisher,PrintISSN,OnlineISSN,ManagedCoverageBegin,ManagedCoverageEnd,AsExpected,ProblemYears,FreeYears
ACS Applied Materials & Interfaces,2019,10.1021/acsami.8b19280,http://doi.org/10.1021/acsami.8b19280,True,ACS (CRKN),https://pubs.acs.org/journal/aamick,American Chemical Society,1944-8244,1944-8252,2009-01-28,Present,True,no wrong years,NoYears
Chemical Research in Toxicology,1988,10.1021/tx00002a007,http://doi.org/10.1021/tx00002a007,True,ACS Legacy Archives,https://pubs.acs.org/loi/crtoec,American Chemical Society,0893-228X,1520-5010,1988-01-01,1995-12-01,True,no wrong years,NoYears
Chemical Research in Toxicology,1989,10.1021/tx00007a004,http://doi.org/10.1021/tx00007a004,True,ACS Legacy Archives,https://pubs.acs.org/loi/crtoec,American Chemical Society,0893-228X,1520-5010,1988-01-01,1995-12-01,True,no wrong years,NoYears
Chemical Research in Toxicology,1990,10.1021/tx00015a013,http://doi.org/10.1021/tx00015a013,False,ACS Legacy Archives,https://pubs.acs.org/loi/crtoec,American Chemical Society,0893-228X,1520-5010,1988-01-01,1995-12-01,True,no wrong years,NoYears
Chemical Research in Toxicology,1991,10.1021/tx00021a017,http://doi.org/10.1021/tx00021a017,False,ACS Legacy Archives,https://pubs.acs.org/loi/crtoec,American Chemical Society,0893-228X,1520-5010,1988-01-01,1995-12-01,True,no wrong years,NoYears
Chemical Research in Toxicology,1992,10.1021/tx00025a001,http://doi.org/10.1021/tx00025a001,False,ACS Legacy Archives,https://pubs.acs.org/loi/crtoec,American Chemical Society,0893-228X,1520-5010,1988-01-01,1995-12-01,True,no wrong years,NoYears
Chemical Research in Toxicology,1993,10.1021/tx00034a003,http://doi.org/10.1021/tx00034a003,False,ACS Legacy Archives,https://pubs.acs.org/loi/crtoec,American Chemical Society,0893-228X,1520-5010,1988-01-01,1995-12-01,True,no wrong years,NoYears
Chemical Research in Toxicology,1994,10.1021/tx00040a003,http://doi.org/10.1021/tx00040a003,False,ACS Legacy Archives,https://pubs.acs.org/loi/crtoec,American Chemical Society,0893-228X,1520-5010,1988-01-01,1995-12-01,True,no wrong years,NoYears
Chemical Research in Toxicology,1995,10.1021/tx00043a007,http://doi.org/10.1021/tx00043a007,False,ACS Legacy Archives,https://pubs.acs.org/loi/crtoec,American Chemical Society,0893-228X,1520-5010,1988-01-01,1995-12-01,True,no wrong years,NoYears
Journal of Chemical Information and Computer Sciences,1996,none,http://doi.org/none,True,ACS (CRKN),https://pubs.acs.org/journal/jcisd8,American Chemical Society,0095-2338,1520-5142,1996-01-24,2004-11-21,True,no wrong years,NoYears
Journal of Chemical Information and Computer Sciences,1997,10.1021/ci970005o,http://doi.org/10.1021/ci970005o,True,ACS (CRKN),https://pubs.acs.org/journal/jcisd8,American Chemical Society,0095-2338,1520-5142,1996-01-24,2004-11-21,True,no wrong years,NoYears
Journal of Chemical Information and Computer Sciences,1998,10.1021/ci970063+,http://doi.org/10.1021/ci970063+,True,ACS (CRKN),https://pubs.acs.org/journal/jcisd8,American Chemical Society,0095-2338,1520-5142,1996-01-24,2004-11-21,True,no wrong years,NoYears
Journal of Chemical Information and Computer Sciences,1999,10.1021/ci980224p,http://doi.org/10.1021/ci980224p,True,ACS (CRKN),https://pubs.acs.org/journal/jcisd8,American Chemical Society,0095-2338,1520-5142,1996-01-24,2004-11-21,True,no wrong years,NoYears
Journal of Chemical Information and Computer Sciences,2000,10.1021/ci990035m,http://doi.org/10.1021/ci990035m,True,ACS (CRKN),https://pubs.acs.org/journal/jcisd8,American Chemical Society,0095-2338,1520-5142,1996-01-24,2004-11-21,True,no wrong years,NoYears
Journal of Chemical Information and Computer Sciences,2001,10.1021/ci000404a,http://doi.org/10.1021/ci000404a,True,ACS (CRKN),https://pubs.acs.org/journal/jcisd8,American Chemical Society,0095-2338,1520-5142,1996-01-24,2004-11-21,True,no wrong years,NoYears
Journal of Chemical Information and Computer Sciences,2002,10.1021/ci0255782,http://doi.org/10.1021/ci0255782,True,ACS (CRKN),https://pubs.acs.org/journal/jcisd8,American Chemical Society,0095-2338,1520-5142,1996-01-24,2004-11-21,True,no wrong years,NoYears
Journal of Chemical Information and Computer Sciences,2003,10.1021/ci034058j,http://doi.org/10.1021/ci034058j,True,ACS (CRKN),https://pubs.acs.org/journal/jcisd8,American Chemical Society,0095-2338,1520-5142,1996-01-24,2004-11-21,True,no wrong years,NoYears
Journal of Chemical Information and Computer Sciences,2004,10.1021/ci034203t,http://doi.org/10.1021/ci034203t,True,ACS (CRKN),https://pubs.acs.org/journal/jcisd8,American Chemical Society,0095-2338,1520-5142,1996-01-24,2004-11-21,True,no wrong years,NoYears
Organometallics,1995,10.1021/om00008a043,http://doi.org/10.1021/om00008a043,True,ACS Legacy Archives,https://pubs.acs.org/loi/orgnd7,American Chemical Society,0276-7333,1520-6041,1995-01-01,1995-12-01,True,no wrong years,NoYears
